id;title;content;date
1;Credit Card Account Licensed;../fake-data/blob/hipster.txt;2020-05-14T19:18:04
2;SMS challenge;../fake-data/blob/hipster.txt;2020-05-14T19:18:45
3;card optical Quality;../fake-data/blob/hipster.txt;2020-05-14T09:11:10
4;bluetooth;../fake-data/blob/hipster.txt;2020-05-14T14:14:41
5;Hat Corporate Engineer;../fake-data/blob/hipster.txt;2020-05-14T11:07:52
6;installation deploy;../fake-data/blob/hipster.txt;2020-05-14T07:51:53
7;Unbranded Fresh Sausages;../fake-data/blob/hipster.txt;2020-05-14T20:31:03
8;Unbranded Stand-alone calculating;../fake-data/blob/hipster.txt;2020-05-14T17:19:20
9;Division support Intranet;../fake-data/blob/hipster.txt;2020-05-14T22:07:24
10;hack bricks-and-clicks;../fake-data/blob/hipster.txt;2020-05-14T10:17:49
